keys,ko

NAME_FORMAT,{surname}{given}

NAME_SURNAME_COUNT,30
NAME_MALE_COUNT,100
NAME_FEMALE_COUNT,100

NAME_SURNAME_0,김
NAME_SURNAME_1,이
NAME_SURNAME_2,박
NAME_SURNAME_3,최
NAME_SURNAME_4,정
NAME_SURNAME_5,강
NAME_SURNAME_6,조
NAME_SURNAME_7,윤
NAME_SURNAME_8,장
NAME_SURNAME_9,임
NAME_SURNAME_10,한
NAME_SURNAME_11,오
NAME_SURNAME_12,서
NAME_SURNAME_13,신
NAME_SURNAME_14,권
NAME_SURNAME_15,황
NAME_SURNAME_16,안
NAME_SURNAME_17,송
NAME_SURNAME_18,류
NAME_SURNAME_19,홍
NAME_SURNAME_20,전
NAME_SURNAME_21,고
NAME_SURNAME_22,문
NAME_SURNAME_23,양
NAME_SURNAME_24,손
NAME_SURNAME_25,배
NAME_SURNAME_26,백
NAME_SURNAME_27,허
NAME_SURNAME_28,남
NAME_SURNAME_29,유

NAME_MALE_0,강
NAME_MALE_1,강민
NAME_MALE_2,건영
NAME_MALE_3,건우
NAME_MALE_4,건혁
NAME_MALE_5,결
NAME_MALE_6,경훈
NAME_MALE_7,도영
NAME_MALE_8,도윤
NAME_MALE_9,도현
NAME_MALE_10,동욱
NAME_MALE_11,동현
NAME_MALE_12,류
NAME_MALE_13,민
NAME_MALE_14,민규
NAME_MALE_15,민석
NAME_MALE_16,민재
NAME_MALE_17,민준
NAME_MALE_18,민호
NAME_MALE_19,상현
NAME_MALE_20,서준
NAME_MALE_21,서진
NAME_MALE_22,성민
NAME_MALE_23,성현
NAME_MALE_24,성훈
NAME_MALE_25,수현
NAME_MALE_26,수호
NAME_MALE_27,승민
NAME_MALE_28,승우
NAME_MALE_29,승재
NAME_MALE_30,승현
NAME_MALE_31,승호
NAME_MALE_32,시우
NAME_MALE_33,시원
NAME_MALE_34,시윤
NAME_MALE_35,시혁
NAME_MALE_36,시훈
NAME_MALE_37,영훈
NAME_MALE_38,예준
NAME_MALE_39,우석
NAME_MALE_40,우성
NAME_MALE_41,우진
NAME_MALE_42,우현
NAME_MALE_43,원준
NAME_MALE_44,유민
NAME_MALE_45,윤재
NAME_MALE_46,윤준
NAME_MALE_47,윤호
NAME_MALE_48,재민
NAME_MALE_49,재성
NAME_MALE_50,재원
NAME_MALE_51,재윤
NAME_MALE_52,재혁
NAME_MALE_53,재현
NAME_MALE_54,재호
NAME_MALE_55,정우
NAME_MALE_56,정현
NAME_MALE_57,정훈
NAME_MALE_58,종현
NAME_MALE_59,주원
NAME_MALE_60,준
NAME_MALE_61,준서
NAME_MALE_62,준석
NAME_MALE_63,준영
NAME_MALE_64,준혁
NAME_MALE_65,준현
NAME_MALE_66,준형
NAME_MALE_67,준호
NAME_MALE_68,지민
NAME_MALE_69,지성
NAME_MALE_70,지완
NAME_MALE_71,지호
NAME_MALE_72,지환
NAME_MALE_73,지후
NAME_MALE_74,지훈
NAME_MALE_75,진
NAME_MALE_76,진성
NAME_MALE_77,진우
NAME_MALE_78,진혁
NAME_MALE_79,진호
NAME_MALE_80,찬우
NAME_MALE_81,태
NAME_MALE_82,태규
NAME_MALE_83,태민
NAME_MALE_84,태성
NAME_MALE_85,태원
NAME_MALE_86,태준
NAME_MALE_87,태현
NAME_MALE_88,태훈
NAME_MALE_89,택
NAME_MALE_90,하준
NAME_MALE_91,한결
NAME_MALE_92,혁
NAME_MALE_93,현
NAME_MALE_94,현석
NAME_MALE_95,현수
NAME_MALE_96,현우
NAME_MALE_97,현준
NAME_MALE_98,현진
NAME_MALE_99,휘

NAME_FEMALE_0,가람
NAME_FEMALE_1,가윤
NAME_FEMALE_2,가은
NAME_FEMALE_3,나래
NAME_FEMALE_4,나연
NAME_FEMALE_5,나윤
NAME_FEMALE_6,나은
NAME_FEMALE_7,다솜
NAME_FEMALE_8,다연
NAME_FEMALE_9,다은
NAME_FEMALE_10,다인
NAME_FEMALE_11,다현
NAME_FEMALE_12,다희
NAME_FEMALE_13,란
NAME_FEMALE_14,리아
NAME_FEMALE_15,린
NAME_FEMALE_16,민서
NAME_FEMALE_17,민아
NAME_FEMALE_18,민지
NAME_FEMALE_19,별
NAME_FEMALE_20,봄
NAME_FEMALE_21,서린
NAME_FEMALE_22,서아
NAME_FEMALE_23,서연
NAME_FEMALE_24,서윤
NAME_FEMALE_25,서정
NAME_FEMALE_26,서현
NAME_FEMALE_27,설
NAME_FEMALE_28,세린
NAME_FEMALE_29,세아
NAME_FEMALE_30,세은
NAME_FEMALE_31,소민
NAME_FEMALE_32,소연
NAME_FEMALE_33,소윤
NAME_FEMALE_34,소율
NAME_FEMALE_35,소희
NAME_FEMALE_36,솔
NAME_FEMALE_37,수민
NAME_FEMALE_38,수빈
NAME_FEMALE_39,수아
NAME_FEMALE_40,수연
NAME_FEMALE_41,수진
NAME_FEMALE_42,수현
NAME_FEMALE_43,시아
NAME_FEMALE_44,시연
NAME_FEMALE_45,시은
NAME_FEMALE_46,아린
NAME_FEMALE_47,아현
NAME_FEMALE_48,연
NAME_FEMALE_49,연우
NAME_FEMALE_50,예나
NAME_FEMALE_51,예린
NAME_FEMALE_52,예서
NAME_FEMALE_53,예은
NAME_FEMALE_54,예진
NAME_FEMALE_55,온유
NAME_FEMALE_56,유나
NAME_FEMALE_57,유림
NAME_FEMALE_58,유빈
NAME_FEMALE_59,유주
NAME_FEMALE_60,유진
NAME_FEMALE_61,윤서
NAME_FEMALE_62,윤아
NAME_FEMALE_63,윤채
NAME_FEMALE_64,율
NAME_FEMALE_65,은서
NAME_FEMALE_66,은유
NAME_FEMALE_67,은지
NAME_FEMALE_68,은채
NAME_FEMALE_69,은하
NAME_FEMALE_70,정원
NAME_FEMALE_71,주아
NAME_FEMALE_72,주연
NAME_FEMALE_73,주은
NAME_FEMALE_74,지민
NAME_FEMALE_75,지수
NAME_FEMALE_76,지아
NAME_FEMALE_77,지연
NAME_FEMALE_78,지우
NAME_FEMALE_79,지원
NAME_FEMALE_80,지유
NAME_FEMALE_81,지은
NAME_FEMALE_82,지현
NAME_FEMALE_83,채린
NAME_FEMALE_84,채빈
NAME_FEMALE_85,채아
NAME_FEMALE_86,채영
NAME_FEMALE_87,채원
NAME_FEMALE_88,채은
NAME_FEMALE_89,하린
NAME_FEMALE_90,하영
NAME_FEMALE_91,하윤
NAME_FEMALE_92,하은
NAME_FEMALE_93,하진
NAME_FEMALE_94,한별
NAME_FEMALE_95,해린
NAME_FEMALE_96,현서
NAME_FEMALE_97,혜림
NAME_FEMALE_98,혜원
NAME_FEMALE_99,혜진
